2026-01-14 17:05:47,894 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:05:50,286 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:08:52,560 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:08:54,857 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:10:32,368 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:10:34,268 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:28:20,901 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:28:21,004 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:31:47,474 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-14 17:31:47,571 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-14 17:31:56,253 - INFO - Phone migrated to 4
2026-01-14 17:31:56,374 - INFO - Reconnecting to new data center 4
2026-01-14 17:31:56,512 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-14 17:31:56,513 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-14 17:31:56,514 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-14 17:31:58,433 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-14 17:32:54,904 - INFO - Scraping channel: Lobelia_pharmacy_and_cosmetics
2026-01-14 17:32:55,261 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:55,499 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:55,703 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:56,340 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:56,879 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:57,046 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:57,269 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:58,354 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:58,526 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:58,726 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:58,929 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:59,165 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:59,331 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:59,593 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-14 17:32:59,797 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
